date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:58	436742/436742	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202020%2021:18:58%20GMT	https://tamirs2702.wixsite.com/mysite-10	C:/My%20Web%20Sites/bweb10/tamirs2702.wixsite.com/mysite-10.html	(from )
00:18:59	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://tamirs2702.wixsite.com/robots.txt		(from )
00:19:00	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/bweb10/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://tamirs2702.wixsite.com/mysite-10)
00:19:00	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/bweb10/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://tamirs2702.wixsite.com/mysite-10)
00:19:00	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2012%20May%202020%2013:13:16%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/bweb10/polyfill.io/v3/polyfill.mind82c.js	(from https://tamirs2702.wixsite.com/mysite-10)
00:19:01	14132/14132	---MCZ	200	added ('OK')	application/json	date:Fri,%2021%20Aug%202020%2021:19:01%20GMT	https://tamirs2702.wixsite.com/mysite-10/_api/v2/dynamicmodel	C:/My%20Web%20Sites/bweb10/tamirs2702.wixsite.com/mysite-10/_api/v2/dynamicmodel.json	(from https://tamirs2702.wixsite.com/mysite-10)
00:19:01	8991/8991	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e712c4040dd0adb29d3fd446641a2cba%22	https://static.parastorage.com/services/chat-worker/1.380.0/viewer-script.bundle.min.js	C:/My%20Web%20Sites/bweb10/static.parastorage.com/services/chat-worker/1.380.0/viewer-script.bundle.min.js	(from https://tamirs2702.wixsite.com/mysite-10)
00:19:01	336173/336173	---M-Z	200	added ('OK')	application/javascript	etag:W/%2288a91f6961e088498961081d96295d88%22	https://static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.1fad34cf.bundle.min.js	C:/My%20Web%20Sites/bweb10/static.parastorage.com/services/wix-thunderbolt/dist/clientWorker.1fad34cf.bundle.min.js	(from https://tamirs2702.wixsite.com/mysite-10)
00:19:02	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	C:/My%20Web%20Sites/bweb10/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://tamirs2702.wixsite.com/mysite-10)
00:19:02	109141/109141	---M-Z	200	added ('OK')	application/javascript	etag:W/%2245fbc5ff3f5cf4a748761afefcc4e8e5%22	https://static.parastorage.com/services/wix-form-builder/1.3298.0/viewer-app.bundle.min.js	C:/My%20Web%20Sites/bweb10/static.parastorage.com/services/wix-form-builder/1.3298.0/viewer-app.bundle.min.js	(from https://tamirs2702.wixsite.com/mysite-10)
