date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:53:32	354/354	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Aug%202020%2021:53:32%20GMT	https://bitorzo822342368.wordpress.com/robots.txt		(from )
00:53:32	43029/43029	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2021:53:32%20GMT	https://bitorzo822342368.wordpress.com/	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/index.html	(from )
00:53:32	1477/1477	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2023%20Aug%202020%2021:53:33%20GMT	https://bitorzo822342368.wordpress.com/feed/	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/feed/index.html	(from https://bitorzo822342368.wordpress.com/)
00:53:32	873/873	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222019c3f1aced27c4f7ea0b196c6ab5a0%22	https://bitorzo822342368.wordpress.com/comments/feed/	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/comments/feed/index.html	(from https://bitorzo822342368.wordpress.com/)
00:53:33	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225dad8f46-eed%22	https://s1.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471h&cssminify=yes	C:/My%20Web%20Sites/BitorzoX/s1.wp.com/wp-content/themes/pub/varia/print9298.css	(from https://bitorzo822342368.wordpress.com/)
00:53:33	37496/37496	---MCZ	200	added ('OK')	text/css	etag:W/%2258674309-9278%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/comment-likes/css/comment-likes.css,/i/noticons/noticons.css?m=1436783281j&cssminify=yes	C:/My%20Web%20Sites/BitorzoX/s1.wp.com/_static/indexba1f.html	(from https://bitorzo822342368.wordpress.com/)
00:53:34	905/905	---MCZ	200	added ('OK')	text/xml	date:Sun,%2023%20Aug%202020%2021:53:34%20GMT	https://bitorzo822342368.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/xmlrpc0db0.php	(from https://bitorzo822342368.wordpress.com/)
00:53:34	88306/88306	---MCZ	200	added ('OK')	text/css	etag:W/%225eecdfc8-158f2%22	https://s0.wp.com/_static/??/wp-content/themes/pub/stratford/style.css,/wp-content/mu-plugins/actionbar/actionbar.css?m=1592582080j&cssminify=yes	C:/My%20Web%20Sites/BitorzoX/s0.wp.com/_static/index9994.html	(from https://bitorzo822342368.wordpress.com/)
00:53:34	134928/134928	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2a2b4-20f10%22	https://s2.wp.com/_static/??/wp-includes/js/jquery/jquery.js,/wp-content/js/postmessage.js,/wp-content/js/mobile-useragent-info.js?m=1558356653j	C:/My%20Web%20Sites/BitorzoX/s2.wp.com/_static/index1b73.html	(from https://bitorzo822342368.wordpress.com/)
00:53:34	10046/10046	---M--	200	added ('OK')	image/png	etag:%22586742fd-273e%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/BitorzoX/s2.wp.com/i/webclip.png	(from https://bitorzo822342368.wordpress.com/)
00:53:35	1393/1393	---MCZ	200	added ('OK')	application/xml	date:Sun,%2023%20Aug%202020%2021:53:35%20GMT	https://bitorzo822342368.wordpress.com/osd.xml	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/osd.xml	(from https://bitorzo822342368.wordpress.com/)
00:53:36	36277/36277	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2021:53:36%20GMT	https://bitorzo822342368.wordpress.com/blog/	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/blog/index.html	(from https://bitorzo822342368.wordpress.com/)
00:53:36	25335/25335	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2020:58:18%20GMT	https://bitorzo822342368.files.wordpress.com/2020/08/habos-1.png	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.files.wordpress.com/2020/08/habos-1.png	(from https://bitorzo822342368.wordpress.com/)
00:53:37	75691/75691	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2021:25:17%20GMT	https://bitorzo822342368.files.wordpress.com/2020/08/untitled-2.png?w=809	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.files.wordpress.com/2020/08/untitled-2983f.png	(from https://bitorzo822342368.wordpress.com/)
00:53:37	34778/34778	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2021:25:25%20GMT	https://bitorzo822342368.files.wordpress.com/2020/08/untitledddd-1.png?w=803	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.files.wordpress.com/2020/08/untitledddd-192b9.png	(from https://bitorzo822342368.wordpress.com/)
00:53:38	78519/78519	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2020:57:25%20GMT	https://bitorzo822342368.files.wordpress.com/2020/08/unnamed.png	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.files.wordpress.com/2020/08/unnamed.png	(from https://bitorzo822342368.wordpress.com/)
00:53:38	4802/4802	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jun%202020%2018:39:54%20GMT	https://stratfordstarter.files.wordpress.com/2020/06/cropped-icon-implementation-support-1.png	C:/My%20Web%20Sites/BitorzoX/stratfordstarter.files.wordpress.com/2020/06/cropped-icon-implementation-support-1.png	(from https://bitorzo822342368.wordpress.com/)
00:53:39	5464/5464	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jun%202020%2018:49:26%20GMT	https://stratfordstarter.files.wordpress.com/2020/06/icon-managed-hosting-1.png?w=300	C:/My%20Web%20Sites/BitorzoX/stratfordstarter.files.wordpress.com/2020/06/icon-managed-hosting-1c6eb.png	(from https://bitorzo822342368.wordpress.com/)
00:53:40	24042/24042	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e8609cc-5dea%22	http://0.gravatar.com/js/gprofiles.js?ver=202034y	C:/My%20Web%20Sites/BitorzoX/0.gravatar.com/js/gprofiles458b.js	(from https://bitorzo822342368.wordpress.com/)
00:53:40	582/582	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258674607-2f0%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781h	C:/My%20Web%20Sites/BitorzoX/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoc3b6.js	(from https://bitorzo822342368.wordpress.com/)
00:53:42	602/602	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2023%20Aug%202020%2021:53:42%20GMT	https://bitorzo822342368.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://bitorzo822342368.wordpress.com/)
00:53:42	13423/13423	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6029bb-4e62%22	http://stats.wp.com/w.js?61	C:/My%20Web%20Sites/BitorzoX/stats.wp.com/w7f39.js	(from https://bitorzo822342368.wordpress.com/)
00:53:43	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2023%20Aug%202020%2021:53:43%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/My%20Web%20Sites/BitorzoX/pixel.wp.com/b0b80.gif	(from https://bitorzo822342368.wordpress.com/)
00:53:43	345/345	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Aug%202020%2021:53:44%20GMT	https://s1.wp.com/robots.txt		(from https://bitorzo822342368.wordpress.com/)
00:53:44	345/345	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Aug%202020%2021:53:45%20GMT	https://s0.wp.com/robots.txt		(from https://bitorzo822342368.wordpress.com/)
00:53:44	345/345	---MCZ	200	added ('OK')	text/plain	date:Sun,%2023%20Aug%202020%2021:53:45%20GMT	https://s2.wp.com/robots.txt		(from https://bitorzo822342368.wordpress.com/)
00:53:45	323/323	---MCZ	200	added ('OK')	text/css	etag:W/%225739124e-1d7%22	https://s0.wp.com/wp-content/themes/h4/global.css?m=1420737423h&cssminify=yes	C:/My%20Web%20Sites/BitorzoX/s0.wp.com/wp-content/themes/h4/global21a2.css	(from https://bitorzo822342368.wordpress.com/blog/)
00:53:46	143447/143447	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Aug%202020%2020:52:59%20GMT	https://bitorzo822342368.files.wordpress.com/2020/08/action-adult-carry-1378866.jpg?w=1568	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.files.wordpress.com/2020/08/action-adult-carry-1378866c7e0.jpg	(from https://bitorzo822342368.wordpress.com/blog/)
00:53:47	55683/55683	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2021:53:46%20GMT	https://bitorzo822342368.wordpress.com/2020/08/23/school-fun-day/	C:/My%20Web%20Sites/BitorzoX/bitorzo822342368.wordpress.com/2020/08/23/school-fun-day/index.html	(from https://bitorzo822342368.wordpress.com/blog/)
